step,reward,cpu_temp,gpu_temp,fan_rpm
1,-19.495005,96.0,64.0,2272.287
2,-19.726688,96.0,65.0,2928.3845
3,-18.244905,96.0,65.0,3342.9648
4,-16.146725,96.0,66.0,2342.9648
5,-15.860537,96.0,66.0,2674.1912
6,-15.742036,96.0,67.0,3674.1912
7,-17.641518,96.0,67.0,3743.2612
8,-17.888065,96.0,67.0,4616.9863
9,-18.734665,96.0,67.0,4229.831
10,-17.254004,96.0,68.0,4600.2617
11,-18.059006,96.0,68.0,5600.2617
12,-17.440638,96.0,69.0,5188.9126
13,-19.063297,96.0,69.0,5767.241
14,-17.425896,96.0,68.0,6000.0
15,-16.832846,96.0,69.0,5000.0
16,-16.449093,96.0,69.0,5920.6655
17,-17.28539,96.0,69.0,5484.442
18,-17.255684,96.0,69.0,4484.442
19,-16.621193,96.0,69.0,4883.8145
20,-18.693886,96.0,69.0,5280.442
21,-17.849957,96.0,70.0,6000.0
22,-17.556173,96.0,71.0,6000.0
23,-16.236485,96.0,70.0,5189.7183
24,-17.084888,96.0,70.0,6000.0
25,-15.777266,96.0,71.0,6000.0
26,-14.777266,96.0,71.0,6000.0
27,-15.52044,96.0,70.0,5229.5234
28,-15.730753,96.0,69.0,5789.9663
29,-17.800764,96.0,69.0,6000.0
30,-16.927155,96.0,69.0,6000.0
31,-14.958549,96.0,69.0,5000.0
32,-16.209373,96.0,69.0,6000.0
33,-16.390984,96.0,69.0,6000.0
34,-16.219301,96.0,69.0,5871.3745
35,-16.874557,96.0,69.0,5520.751
36,-15.968401,96.0,70.0,5395.095
37,-15.108044,96.0,70.0,5413.382
38,-14.911108,96.0,70.0,6000.0
39,-14.652008,96.0,70.0,6000.0
40,-15.652008,96.0,70.0,6000.0
41,-14.652008,96.0,70.0,6000.0
42,-15.211876,96.0,70.0,6000.0
43,-16.342052,96.0,70.0,6000.0
44,-16.441544,96.0,70.0,5335.424
45,-16.011133,96.0,71.0,6000.0
46,-16.428566,96.0,71.0,5868.803
47,-18.314112,96.0,71.0,5525.4355
48,-18.213793,96.0,71.0,5408.096
49,-18.503126,96.0,71.0,4512.456
50,-18.913525,96.0,71.0,5431.1147
51,-17.844465,96.0,71.0,5988.077
52,-18.403614,96.0,72.0,6000.0
53,-18.459705,96.0,71.0,6000.0
54,-16.48956,96.0,72.0,5977.2476
55,-17.512135,96.0,72.0,6000.0
56,-17.4023,96.0,72.0,6000.0
57,-16.214794,96.0,72.0,5161.1084
58,-16.754864,96.0,73.0,5160.8896
59,-17.44682,96.0,72.0,4688.1904
60,-18.093777,96.0,72.0,4958.8984
61,-16.45104,96.0,72.0,4769.769
62,-16.5403,96.0,73.0,5769.769
63,-16.623198,96.0,73.0,4769.769
64,-14.947649,96.0,73.0,3769.769
65,-15.871496,96.0,73.0,4071.8042
66,-16.393919,96.0,73.0,4082.9753
67,-16.613087,96.0,73.0,3443.5374
68,-17.240316,96.0,73.0,4443.537
69,-18.73928,96.0,74.0,3443.537
70,-19.25536,96.0,73.0,3346.4746
71,-20.08757,96.0,73.0,4346.4746
72,-20.35849,96.0,73.0,5346.4746
73,-21.851805,96.0,74.0,5682.245
74,-22.07069,96.0,73.0,5899.417
75,-22.339872,96.0,73.0,6000.0
76,-20.75995,96.0,73.0,6000.0
77,-20.800362,96.0,74.0,6000.0
78,-21.726791,96.0,74.0,5000.0
79,-21.16076,96.0,74.0,5869.5615
80,-20.096357,96.0,74.0,5570.7114
81,-20.630138,96.0,74.0,5896.1333
82,-20.05895,96.0,74.0,4896.1333
83,-21.150244,96.0,74.0,3896.1333
84,-20.560154,96.0,74.0,3434.7583
85,-19.742216,96.0,74.0,3482.5247
86,-20.505592,96.0,74.0,2482.5247
87,-20.137106,96.0,74.0,1930.4385
88,-21.424147,96.0,74.0,1594.6006
89,-21.269579,96.0,74.0,2594.6006
90,-22.04872,96.0,74.0,2270.6367
91,-22.179544,96.0,74.0,3270.6367
92,-23.232754,96.0,74.0,3430.2637
93,-21.947596,96.0,74.0,2574.7864
94,-20.265789,96.0,74.0,1574.7864
95,-18.254494,96.0,74.0,1540.903
